End X,End Y,End Z,Start X,Start Y,Start Z
0.2608,1.5731,0.0000,0.2519,1.5546,0.0000
0.2608,1.5832,0.0000,0.2147,1.5394,0.0000
0.2684,0.2169,0.0000,0.2391,0.1621,0.0000
0.2696,1.5916,0.0000,0.2608,1.5731,0.0000
0.2716,0.9105,0.0000,0.2596,0.8988,0.0000
0.2896,0.1192,0.0000,0.3241,0.1496,0.0000
0.2938,0.9320,0.0000,0.2716,0.9105,0.0000
0.2978,0.2718,0.0000,0.2684,0.2169,0.0000
0.3069,1.6271,0.0000,0.2608,1.5832,0.0000
0.3160,0.9535,0.0000,0.2938,0.9320,0.0000
0.3241,0.1496,0.0000,0.3587,0.1800,0.0000
0.3271,0.3266,0.0000,0.2978,0.2718,0.0000
0.3383,0.9750,0.0000,0.3160,0.9535,0.0000
0.3428,0.3559,0.0000,0.3271,0.3266,0.0000
0.3531,1.6709,0.0000,0.3069,1.6271,0.0000
0.3587,0.1800,0.0000,0.3933,0.2103,0.0000
0.3605,0.9965,0.0000,0.3383,0.9750,0.0000
0.3828,1.0180,0.0000,0.3605,0.9965,0.0000
0.3857,0.4362,0.0000,0.3428,0.3559,0.0000
0.3933,0.2103,0.0000,0.4280,0.2407,0.0000
0.3992,1.7146,0.0000,0.3531,1.6709,0.0000
0.4051,1.0394,0.0000,0.3828,1.0180,0.0000
0.4150,0.4911,0.0000,0.3857,0.4362,0.0000
0.4274,1.0609,0.0000,0.4051,1.0394,0.0000
0.4280,0.2407,0.0000,0.4626,0.2711,0.0000
0.4443,0.5459,0.0000,0.4150,0.4911,0.0000
0.4453,1.7584,0.0000,0.3992,1.7146,0.0000
0.4497,1.0823,0.0000,0.4274,1.0609,0.0000
0.4626,0.2711,0.0000,0.4972,0.3014,0.0000
0.4735,0.6008,0.0000,0.4443,0.5459,0.0000
0.4782,1.1097,0.0000,0.4497,1.0823,0.0000
0.4914,1.8022,0.0000,0.4453,1.7584,0.0000
0.4943,1.1251,0.0000,0.4782,1.1097,0.0000
0.4972,0.3014,0.0000,0.5318,0.3317,0.0000
0.5026,0.6558,0.0000,0.4735,0.6008,0.0000
0.5166,1.1465,0.0000,0.4943,1.1251,0.0000
0.5317,0.7107,0.0000,0.5026,0.6558,0.0000
0.5318,0.3317,0.0000,0.5665,0.3621,0.0000
0.5375,1.8459,0.0000,0.4914,1.8022,0.0000
0.5390,1.1679,0.0000,0.5166,1.1465,0.0000
0.5594,0.7634,0.0000,0.5317,0.7107,0.0000
0.5613,1.1892,0.0000,0.5390,1.1679,0.0000
0.5665,0.3621,0.0000,0.6012,0.3924,0.0000
