Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
C,C8X18.75,C8X18.75,F,18.75,5.51,8.00,8      ,–,–,–,2.53,2  1/2 ,–,–,–,0.487,  1/2 ,  1/4 ,0.390,  3/8 ,–,–,–,0.938, 15/16,–,0.565,–,0.431,0.344,–,–,6.49,–,13.5,–,–,43.9,13.9,11.0,2.82,1.97,2.17,1.01,0.598,–,–,–,0.434,25.1,–,6.13,1.93,1.59,0.788,3.03,6.93,3.05,0.894,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.800,7.61,–,–
C,C8X13.75,C8X13.75,F,13.75,4.03,8.00,8      ,–,–,–,2.34,2  3/8 ,–,–,–,0.303,  5/16,  3/16,0.390,  3/8 ,–,–,–,0.938, 15/16,–,0.554,–,0.604,0.252,–,–,6.00,–,21.8,–,–,36.1,11.0,9.02,2.99,1.52,1.73,0.848,0.613,–,–,–,0.186,19.2,–,5.45,1.52,1.10,0.557,3.02,5.45,3.26,0.874,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.774,7.61,–,–
C,C8X11.5,C8X11.5,F,11.5,3.37,8.00,8      ,–,–,–,2.26,2  1/4 ,–,–,–,0.220,  1/4 ,  1/8 ,0.390,  3/8 ,–,–,–,0.938, 15/16,–,0.572,–,0.697,0.211,–,–,5.79,–,30.0,–,–,32.5,9.63,8.14,3.11,1.31,1.57,0.775,0.623,–,–,–,0.130,16.5,–,5.11,1.34,0.855,0.430,3.03,4.79,3.41,0.862,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.756,7.61,–,–
C,C7X14.75,C7X14.75,F,14.75,4.33,7.00,7      ,–,–,–,2.30,2  1/4 ,–,–,–,0.419,  7/16,  1/4 ,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.532,–,0.441,0.309,–,–,6.28,–,13.5,–,–,27.2,9.75,7.78,2.51,1.37,1.63,0.772,0.561,–,–,–,0.267,13.1,–,4.78,1.26,1.00,0.498,2.28,4.85,2.75,0.875,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.738,6.63,–,–
C,C7X12.25,C7X12.25,F,12.25,3.59,7.00,7      ,–,–,–,2.19,2  1/4 ,–,–,–,0.314,  5/16,  3/16,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.525,–,0.538,0.257,–,–,5.98,–,18.0,–,–,24.2,8.46,6.92,2.59,1.16,1.42,0.696,0.568,–,–,–,0.161,11.2,–,4.44,1.09,0.793,0.406,2.28,4.20,2.86,0.862,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.722,6.63,–,–
C,C7X9.8,C7X9.8,F,9.80,2.87,7.00,7      ,–,–,–,2.09,2  1/8 ,–,–,–,0.210,  3/16,  1/8 ,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.541,–,0.647,0.205,–,–,5.71,–,26.9,–,–,21.2,7.19,6.07,2.72,0.957,1.26,0.617,0.578,–,–,–,0.0996,9.15,–,4.09,0.922,0.58,0.289,2.28,3.57,3.02,0.845,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.698,6.63,–,–
C,C6X13,C6X13,F,13.0,3.82,6.00,6      ,–,–,–,2.16,2  1/8 ,–,–,–,0.437,  7/16,  1/4 ,0.343,  5/16,–,–,–,0.813, 13/16,–,0.514,–,0.380,0.318,–,–,6.30,–,11.0,–,–,17.3,7.29,5.78,2.13,1.05,1.35,0.638,0.524,–,–,–,0.237,7.19,–,3.80,0.875,0.702,0.345,1.67,3.64,2.37,0.858,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.689,5.66,–,–
C,C6X10.5,C6X10.5,F,10.5,3.07,6.00,6      ,–,–,–,2.03,2      ,–,–,–,0.314,  5/16,  3/16,0.343,  5/16,–,–,–,0.813, 13/16,–,0.500,–,0.486,0.256,–,–,5.92,–,15.3,–,–,15.1,6.18,5.04,2.22,0.860,1.14,0.561,0.529,–,–,–,0.128,5.91,–,3.48,0.734,0.534,0.275,1.66,3.08,2.48,0.842,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.669,5.66,–,–
C,C6X8.2,C6X8.2,F,8.20,2.39,6.00,6      ,–,–,–,1.92,1  7/8 ,–,–,–,0.200,  3/16,  1/8 ,0.343,  5/16,–,–,–,0.813, 13/16,–,0.512,–,0.599,0.199,–,–,5.60,–,24.1,–,–,13.1,5.16,4.35,2.34,0.687,0.987,0.488,0.536,–,–,–,0.0736,4.70,–,3.17,0.610,0.373,0.187,1.67,2.57,2.65,0.824,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.643,5.66,–,–
C,C5X9,C5X9,F,9.00,2.64,5.00,5      ,–,–,–,1.89,1  7/8 ,–,–,–,0.325,  5/16,  3/16,0.320,  5/16,–,–,–,0.750,  3/4 ,–,0.478,–,0.427,0.264,–,–,5.91,–,11.7,–,–,8.89,4.39,3.56,1.84,0.624,0.913,0.444,0.486,–,–,–,0.109,2.93,–,2.66,0.485,0.355,0.170,1.17,2.19,2.10,0.815,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.616,4.68,–,–
