Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB
W,W1100X499,W1100X499,499,63500,1120,1120,–,–,–,404,406,–,–,–,26.2,25.4,12.7,45.0,44.4,–,–,–,65.0,66.7,33.3,–,–,–,–,–,4.50,–,–,38.0,–,–,12900,26500,23100,452,499,3870,2460,88.6,–,–,–,31100,144000,–,108000,491,–,–,4560,13200,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108,1070,3350,3760
W,W1100X433,W1100X433,433,55100,1110,1110,–,–,–,401,403,–,–,–,22.0,22.2,11.1,40.1,39.7,–,–,–,59.9,61.9,31.8,–,–,–,–,–,5.02,–,–,45.0,–,–,11200,23100,20300,452,433,3360,2160,88.6,–,–,–,21200,124000,–,107000,433,–,–,4060,11500,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107,1070,3330,3730
W,W1100X390,W1100X390,390,49800,1100,1100,–,–,–,401,400,–,–,–,19.9,20.6,11.1,36.1,36.5,–,–,–,55.9,57.2,30.2,–,–,–,–,–,5.57,–,–,49.6,–,–,10000,20800,18200,450,384,2980,1920,88.1,–,–,–,15500,109000,–,106000,386,–,–,3650,10300,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,106,1060,3330,3730
W,W1100X343,W1100X343,343,43700,1090,1090,–,–,–,401,400,–,–,–,18.0,17.5,9.52,31.0,31.8,–,–,–,51.1,52.4,30.2,–,–,–,–,–,6.45,–,–,54.8,–,–,8660,18000,15900,445,331,2570,1660,87.1,–,–,–,10400,92900,–,106000,330,–,–,3150,8960,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105,1060,3300,3710
W,W1000X883,W1000X883,883,112000,1090,1090,–,–,–,424,425,–,–,–,45.5,46.0,23.8,82.0,82.6,–,–,–,112,114,54.0,–,–,–,–,–,2.58,–,–,19.1,–,–,21000,45200,38300,432,1050,7880,4950,96.5,–,–,–,185000,268000,–,107000,932,–,–,7850,22500,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,118,1010,3300,3730
W,W1000X748,W1000X748,748,95500,1070,1070,–,–,–,417,416,–,–,–,39.1,39.7,20.6,70.1,69.8,–,–,–,100,102,50.8,–,–,–,–,–,2.98,–,–,22.3,–,–,17300,38000,32400,427,849,6460,4080,94.5,–,–,–,115000,212000,–,104000,762,–,–,6600,18800,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,114,998,3280,3680
W,W1000X642,W1000X642,642,81900,1050,1050,–,–,–,411,413,–,–,–,34.0,33.3,17.5,59.9,60.3,–,–,–,89.9,92.1,47.6,–,–,–,–,–,3.44,–,–,25.5,–,–,14500,32100,27700,422,703,5370,3410,92.7,–,–,–,73700,171000,–,102000,629,–,–,5590,15900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,112,988,3230,3630
W,W1000X591,W1000X591,591,75500,1040,1040,–,–,–,409,410,–,–,–,31.0,31.8,15.9,55.9,55.6,–,–,–,85.9,88.9,46.0,–,–,–,–,–,3.66,–,–,28.0,–,–,13300,29500,25600,422,641,4920,3130,92.5,–,–,–,59100,155000,–,101000,574,–,–,5210,14600,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,111,986,3200,3610
W,W1000X554,W1000X554,554,71000,1030,1030,–,–,–,409,410,–,–,–,29.5,30.2,15.9,52.1,52.4,–,–,–,82.0,84.1,46.0,–,–,–,–,–,3.93,–,–,29.5,–,–,12300,27500,23900,419,591,4540,2900,91.4,–,–,–,48300,142000,–,100000,533,–,–,4830,13600,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,110,980,3180,3580
W,W1000X539,W1000X539,539,68400,1030,1030,–,–,–,406,406,–,–,–,28.4,28.6,14.3,51.1,50.8,–,–,–,81.0,82.6,44.5,–,–,–,–,–,3.99,–,–,30.5,–,–,12000,26900,23300,419,574,4420,2830,91.4,–,–,–,45400,138000,–,99400,516,–,–,4740,13200,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,110,980,3180,3580
W,W1000X483,W1000X483,483,61500,1020,1020,–,–,–,404,403,–,–,–,25.4,25.4,12.7,46.0,46.0,–,–,–,75.9,77.8,42.9,–,–,–,–,–,4.40,–,–,34.2,–,–,10700,23900,21000,417,508,3920,2510,90.9,–,–,–,33000,120000,–,98700,458,–,–,4240,11800,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108,975,3150,3560
W,W1000X443,W1000X443,443,56300,1010,1010,–,–,–,401,403,–,–,–,23.6,23.8,12.7,41.9,41.3,–,–,–,71.9,74.6,42.9,–,–,–,–,–,4.80,–,–,36.8,–,–,9660,21800,19200,414,454,3520,2260,89.9,–,–,–,25500,107000,–,97400,409,–,–,3830,10700,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107,970,3120,3530
W,W1000X412,W1000X412,412,52600,1010,1010,–,–,–,401,403,–,–,–,21.1,20.6,11.1,40.1,39.7,–,–,–,70.1,73.0,41.3,–,–,–,–,–,5.03,–,–,41.2,–,–,9120,20500,18000,417,433,3340,2160,90.9,–,–,–,21400,102000,–,97400,391,–,–,3690,10100,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108,968,3120,3530
W,W1000X371,W1000X371,371,47400,1000,1000,–,–,–,401,400,–,–,–,19.1,19.0,9.52,36.1,36.5,–,–,–,66.0,68.3,39.7,–,–,–,–,–,5.55,–,–,45.6,–,–,8160,18400,16300,414,385,2980,1930,90.2,–,–,–,15900,89700,–,96800,350,–,–,3330,9030,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107,965,3100,3510
W,W1000X321,W1000X321,321,41000,991,991,–,–,–,401,400,–,–,–,16.5,15.9,7.94,31.0,31.8,–,–,–,61.0,63.5,39.7,–,–,–,–,–,6.45,–,–,52.6,–,–,6950,15800,14100,411,334,2560,1660,89.9,–,–,–,10300,76300,–,96100,299,–,–,2870,7750,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,106,960,3100,3510
W,W1000X296,W1000X296,296,37900,983,981,–,–,–,401,400,–,–,–,16.5,15.9,7.94,27.2,27.0,–,–,–,57.2,58.7,39.7,–,–,–,–,–,7.39,–,–,52.6,–,–,6200,14200,12600,406,289,2250,1450,87.6,–,–,–,7620,66100,–,96100,261,–,–,2510,7000,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105,955,3070,3480
W,W1000X584,W1000X584,584,74800,1060,1060,–,–,–,315,314,–,–,–,36.1,36.5,19.0,64.0,63.5,–,–,–,94.0,96.8,49.2,–,–,–,–,–,2.45,–,–,24.1,–,–,12400,28000,23600,409,334,3470,2130,67.1,–,–,–,71600,82200,–,78100,394,–,–,4420,13900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,83.8,993,2950,3250
W,W1000X494,W1000X494,494,63000,1040,1040,–,–,–,310,308,–,–,–,31.0,31.8,15.9,54.1,54.0,–,–,–,84.1,85.7,46.0,–,–,–,–,–,2.86,–,–,28.0,–,–,10300,23400,19800,404,268,2820,1740,65.3,–,–,–,43700,64700,–,76100,319,–,–,3700,11600,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,81.5,983,2900,3200
W,W1000X486,W1000X486,486,61900,1040,1040,–,–,–,307,308,–,–,–,30.0,30.2,15.9,54.1,54.0,–,–,–,84.1,85.7,46.0,–,–,–,–,–,2.85,–,–,29.0,–,–,10200,23100,19700,406,266,2790,1720,65.5,–,–,–,42900,64200,–,75500,314,–,–,3690,11400,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,81.5,983,2900,3200
W,W1000X438,W1000X438,438,55600,1030,1030,–,–,–,305,305,–,–,–,26.9,27.0,14.3,49.0,49.2,–,–,–,79.0,81.0,44.5,–,–,–,–,–,3.11,–,–,32.2,–,–,9120,20800,17700,404,234,2460,1530,64.8,–,–,–,31900,55900,–,74200,278,–,–,3330,10200,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,80.3,978,2870,3180
W,W1000X415,W1000X415,415,53100,1020,1020,–,–,–,305,305,–,–,–,26.2,25.4,12.7,46.0,46.0,–,–,–,75.9,77.8,44.5,–,–,–,–,–,3.31,–,–,33.3,–,–,8530,19500,16700,401,217,2290,1430,64.0,–,–,–,27100,51600,–,74200,259,–,–,3110,9620,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.5,975,2840,3150
W,W1000X393,W1000X393,393,49900,1020,1020,–,–,–,302,302,–,–,–,24.4,23.8,12.7,43.9,44.4,–,–,–,73.9,76.2,42.9,–,–,–,–,–,3.45,–,–,35.6,–,–,8070,18500,15900,401,205,2160,1350,64.0,–,–,–,23400,48600,–,73500,245,–,–,2980,9090,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.2,973,2840,3150
W,W1000X350,W1000X350,350,44600,1010,1010,–,–,–,302,302,–,–,–,21.1,20.6,11.1,40.1,39.7,–,–,–,70.1,73.0,41.3,–,–,–,–,–,3.77,–,–,41.2,–,–,7240,16600,14300,404,185,1930,1220,64.5,–,–,–,17200,43200,–,72900,221,–,–,2720,8110,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.0,968,2820,3120
W,W1000X314,W1000X314,314,40100,1000,1000,–,–,–,300,298,–,–,–,19.1,19.0,9.52,36.1,36.5,–,–,–,66.0,68.3,39.7,–,–,–,–,–,4.17,–,–,45.6,–,–,6450,14800,12900,401,162,1720,1080,63.8,–,–,–,12700,37900,–,72300,195,–,–,2430,7240,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,78.0,965,2790,3100
W,W1000X272,W1000X272,272,34400,991,991,–,–,–,300,298,–,–,–,16.5,15.9,7.94,30.5,30.2,–,–,–,60.5,63.5,39.7,–,–,–,–,–,4.92,–,–,52.6,–,–,5490,12700,11100,399,138,1450,918,63.2,–,–,–,8030,31700,–,72300,164,–,–,2060,6160,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,77.2,960,2790,3100
W,W1000X249,W1000X249,249,31800,980,981,–,–,–,300,298,–,–,–,16.5,15.9,7.94,26.2,25.4,–,–,–,56.1,58.7,39.7,–,–,–,–,–,5.76,–,–,52.6,–,–,4830,11400,9830,389,118,1250,785,61.0,–,–,–,5830,26800,–,71600,140,–,–,1750,5510,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,75.7,955,2770,3070
W,W1000X222,W1000X222,222,28300,970,972,–,–,–,300,298,–,–,–,16.0,15.9,7.94,21.1,20.6,–,–,–,51.1,54.0,38.1,–,–,–,–,–,7.11,–,–,54.3,–,–,4080,9800,8410,381,95.3,1020,636,58.2,–,–,–,3900,21500,–,71000,112,–,–,1420,4720,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,73.4,950,2740,3050
W,W920X970,W920X970,970,124000,1040,1040,–,–,–,447,448,–,–,–,50.0,50.8,25.4,89.9,90.5,–,–,–,114,122,55.6,–,–,–,–,–,2.48,–,–,16.3,–,–,21100,47700,40300,411,1340,9520,6010,104,–,–,–,247000,303000,–,106000,1070,–,–,8490,23800,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,126,955,3280,3730
W,W920X787,W920X787,787,101000,1010,1010,–,–,–,437,438,–,–,–,40.9,41.3,20.6,73.9,74.6,–,–,–,98.0,106,50.8,–,–,–,–,–,2.96,–,–,19.9,–,–,16500,38200,32600,406,1040,7440,4740,102,–,–,–,136000,227000,–,103000,828,–,–,6870,19000,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,122,937,3230,3660
W,W920X725,W920X725,725,92300,998,1000,–,–,–,434,435,–,–,–,38.1,38.1,19.0,68.1,68.3,–,–,–,92.2,102,47.6,–,–,–,–,–,3.19,–,–,21.4,–,–,15000,34900,30000,401,937,6750,4310,101,–,–,–,107000,202000,–,101000,749,–,–,6280,17400,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,120,930,3180,3610
W,W920X656,W920X656,656,83900,988,987,–,–,–,432,432,–,–,–,34.5,34.9,17.5,62.0,61.9,–,–,–,86.1,95.3,47.6,–,–,–,–,–,3.48,–,–,23.6,–,–,13400,31300,27000,399,828,6030,3850,99.6,–,–,–,80700,178000,–,99400,666,–,–,5690,15600,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,119,927,3150,3580
W,W920X588,W920X588,588,74800,975,975,–,–,–,427,429,–,–,–,31.0,31.8,15.9,55.9,55.6,–,–,–,80.0,87.3,46.0,–,–,–,–,–,3.83,–,–,26.3,–,–,11900,28000,24400,399,728,5330,3410,98.6,–,–,–,59100,154000,–,98100,587,–,–,5100,13900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,117,919,3120,3560
W,W920X537,W920X537,537,68400,965,965,–,–,–,424,425,–,–,–,28.4,28.6,14.3,51.1,50.8,–,–,–,75.2,84.1,44.5,–,–,–,–,–,4.16,–,–,28.6,–,–,10700,25400,22100,396,653,4800,3080,97.8,–,–,–,45400,137000,–,96800,529,–,–,4620,12600,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,116,914,3100,3530
W,W920X491,W920X491,491,62500,958,956,–,–,–,422,422,–,–,–,25.9,25.4,12.7,47.0,47.6,–,–,–,71.1,79.4,44.5,–,–,–,–,–,4.49,–,–,31.4,–,–,9700,23100,20300,394,591,4340,2800,97.3,–,–,–,35100,122000,–,96100,479,–,–,4240,11400,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,115,912,3070,3510
W,W920X449,W920X449,449,57400,947,949,–,–,–,424,422,–,–,–,24.0,23.8,12.7,42.7,42.9,–,–,–,66.8,76.2,42.9,–,–,–,–,–,4.96,–,–,33.9,–,–,8780,21000,18500,391,541,3950,2560,97.0,–,–,–,26800,111000,–,95500,433,–,–,3850,10400,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,115,904,3070,3510
W,W920X420,W920X420,420,53500,942,943,–,–,–,422,422,–,–,–,22.5,22.2,11.1,39.9,39.7,–,–,–,64.0,73.0,41.3,–,–,–,–,–,5.29,–,–,36.2,–,–,8160,19500,17200,391,499,3650,2360,96.5,–,–,–,21900,102000,–,94800,400,–,–,3590,9680,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,114,902,3050,3480
W,W920X390,W920X390,390,49800,937,937,–,–,–,422,419,–,–,–,21.3,20.6,11.1,36.6,36.5,–,–,–,60.7,69.9,41.3,–,–,–,–,–,5.75,–,–,38.2,–,–,7450,18000,15900,389,454,3340,2160,95.5,–,–,–,17300,91800,–,94800,363,–,–,3280,8900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,113,902,3050,3480
W,W920X368,W920X368,368,46800,932,930,–,–,–,419,419,–,–,–,20.3,20.6,11.1,34.3,34.9,–,–,–,58.4,66.7,41.3,–,–,–,–,–,6.11,–,–,40.1,–,–,6950,16900,15000,386,420,3110,2020,95.0,–,–,–,14400,84900,–,94200,338,–,–,3060,8340,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,112,899,3050,3450
W,W920X344,W920X344,344,44000,927,927,–,–,–,419,419,–,–,–,19.3,19.0,9.52,32.0,31.8,–,–,–,56.1,65.1,39.7,–,–,–,–,–,6.54,–,–,42.2,–,–,6490,15800,14000,384,391,2880,1870,94.2,–,–,–,11900,78400,–,93500,315,–,–,2870,7800,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,112,894,3050,3450
W,W920X381,W920X381,381,48600,951,949,–,–,–,310,311,–,–,–,24.4,23.8,12.7,43.9,44.4,–,–,–,63.0,66.7,33.3,–,–,–,–,–,3.53,–,–,33.8,–,–,6990,17000,14700,378,220,2250,1420,67.3,–,–,–,22000,45100,–,70300,240,–,–,2850,8460,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,82.3,907,2740,3050
W,W920X345,W920X345,345,43900,943,943,–,–,–,307,308,–,–,–,22.1,22.2,11.1,39.9,39.7,–,–,–,58.9,61.9,31.8,–,–,–,–,–,3.86,–,–,37.3,–,–,6240,15300,13300,376,195,2000,1270,66.5,–,–,–,16500,39700,–,69700,213,–,–,2570,7600,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,81.5,902,2740,3050
W,W920X313,W920X313,313,39900,932,933,–,–,–,310,308,–,–,–,21.1,20.6,11.1,34.5,34.9,–,–,–,53.6,58.7,31.8,–,–,–,–,–,4.48,–,–,39.1,–,–,5490,13700,11800,371,171,1750,1110,65.5,–,–,–,11700,34400,–,69700,186,–,–,2230,6750,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,80.8,897,2720,3020
W,W920X289,W920X289,289,36800,927,927,–,–,–,307,308,–,–,–,19.4,19.0,9.52,32.0,31.8,–,–,–,51.1,55.6,30.2,–,–,–,–,–,4.81,–,–,42.4,–,–,5040,12600,10900,371,156,1600,1010,65.0,–,–,–,9240,31200,–,69000,169,–,–,2060,6210,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,80.0,894,2720,3020
W,W920X271,W920X271,271,34600,922,924,–,–,–,307,308,–,–,–,18.4,19.0,9.52,30.0,30.2,–,–,–,49.0,54.0,30.2,–,–,–,–,–,5.12,–,–,44.8,–,–,4700,11800,10200,368,144,1490,944,64.8,–,–,–,7700,28700,–,68400,157,–,–,1930,5820,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.5,892,2690,3000
W,W920X253,W920X253,253,32300,919,918,–,–,–,305,305,–,–,–,17.3,17.5,9.52,27.9,28.6,–,–,–,47.0,50.8,30.2,–,–,–,–,–,5.47,–,–,47.7,–,–,4370,10900,9520,368,133,1370,872,64.3,–,–,–,6290,26500,–,67700,145,–,–,1790,5410,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.0,892,2690,3000
W,W920X238,W920X238,238,30300,914,914,–,–,–,305,305,–,–,–,16.5,15.9,7.94,25.9,25.4,–,–,–,45.0,49.2,28.6,–,–,–,–,–,5.88,–,–,49.9,–,–,4060,10200,8880,366,123,1270,805,63.5,–,–,–,5160,24200,–,67700,134,–,–,1660,5050,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,78.5,889,2670,2970
W,W920X223,W920X223,223,28600,912,911,–,–,–,305,305,–,–,–,15.9,15.9,7.94,23.9,23.8,–,–,–,42.9,47.6,28.6,–,–,–,–,–,6.37,–,–,51.9,–,–,3760,9520,8260,363,112,1160,739,62.7,–,–,–,4200,22100,–,67700,122,–,–,1530,4700,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,77.7,889,2670,2970
W,W920X201,W920X201,201,25700,904,902,–,–,–,305,305,–,–,–,15.2,15.9,7.94,20.1,20.6,–,–,–,39.1,42.9,28.6,–,–,–,–,–,7.56,–,–,54.1,–,–,3250,8340,7190,356,93.7,978,618,60.5,–,–,–,2910,18300,–,67100,102,–,–,1280,4110,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,75.9,884,2670,2970
W,W840X576,W840X576,576,73500,914,914,–,–,–,411,413,–,–,–,32.0,31.8,15.9,57.9,57.2,–,–,–,78.0,81.0,36.5,–,–,–,–,–,3.55,–,–,23.7,–,–,10100,25600,22100,371,674,5110,3280,95.8,–,–,–,61600,123000,–,88400,524,–,–,4700,12700,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,114,856,2970,3380
W,W840X527,W840X527,527,67100,904,902,–,–,–,409,410,–,–,–,29.5,30.2,15.9,53.1,52.4,–,–,–,73.2,74.6,34.9,–,–,–,–,–,3.85,–,–,25.7,–,–,9160,23300,20300,368,608,4620,2970,95.0,–,–,–,47900,110000,–,87100,470,–,–,4290,11600,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,113,851,2950,3350
W,W840X473,W840X473,473,60500,894,892,–,–,–,406,406,–,–,–,26.4,27.0,14.3,48.0,47.6,–,–,–,68.1,69.9,33.3,–,–,–,–,–,4.23,–,–,28.7,–,–,8120,20800,18200,368,537,4100,2640,94.2,–,–,–,35100,95900,–,85800,420,–,–,3850,10400,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,112,846,2920,3330
W,W840X433,W840X433,433,55200,884,886,–,–,–,404,403,–,–,–,24.4,23.8,12.7,43.9,44.4,–,–,–,64.0,66.7,33.3,–,–,–,–,–,4.60,–,–,31.0,–,–,7370,19000,16700,366,483,3700,2390,93.5,–,–,–,27100,85700,–,84500,376,–,–,3510,9390,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,110,841,2900,3300
W,W840X392,W840X392,392,49900,876,876,–,–,–,401,400,–,–,–,22.1,22.2,11.1,39.9,39.7,–,–,–,59.9,61.9,31.8,–,–,–,–,–,5.03,–,–,34.3,–,–,6620,17000,15100,363,433,3310,2150,93.0,–,–,–,20300,75500,–,83900,336,–,–,3160,8440,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,109,836,2870,3280
W,W840X359,W840X359,359,45900,869,867,–,–,–,404,403,–,–,–,21.1,20.6,11.1,35.6,34.9,–,–,–,55.6,57.2,31.8,–,–,–,–,–,5.66,–,–,35.9,–,–,5910,15400,13600,358,388,2980,1930,91.9,–,–,–,15100,67400,–,83900,302,–,–,2830,7650,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,109,833,2870,3280
W,W840X329,W840X329,329,42100,861,860,–,–,–,401,400,–,–,–,19.7,19.0,9.52,32.5,31.8,–,–,–,52.3,54.0,30.2,–,–,–,–,–,6.20,–,–,38.5,–,–,5370,14000,12400,358,350,2690,1740,91.2,–,–,–,11600,60200,–,83200,269,–,–,2560,6930,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108,828,2840,3250
W,W840X299,W840X299,299,38100,856,854,–,–,–,399,400,–,–,–,18.2,17.5,9.52,29.2,28.6,–,–,–,49.3,50.8,30.2,–,–,–,–,–,6.85,–,–,41.7,–,–,4830,12700,11200,356,312,2410,1560,90.4,–,–,–,8660,53200,–,82600,240,–,–,2290,6260,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107,828,2820,3230
W,W840X251,W840X251,251,31900,859,860,–,–,–,292,292,–,–,–,17.0,17.5,9.52,31.0,31.8,–,–,–,48.8,54.0,30.2,–,–,–,–,–,4.71,–,–,44.7,–,–,3870,10300,9000,348,129,1380,883,63.5,–,–,–,7370,22100,–,60500,137,–,–,1770,5100,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,77.0,828,2530,2820
W,W840X226,W840X226,226,29000,851,851,–,–,–,295,295,–,–,–,16.1,15.9,7.94,26.9,27.0,–,–,–,44.7,49.2,28.6,–,–,–,–,–,5.48,–,–,47.2,–,–,3400,9160,7980,343,114,1210,773,62.7,–,–,–,5160,19300,–,60700,120,–,–,1550,4560,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,76.5,823,2520,2820
W,W840X210,W840X210,210,26800,846,845,–,–,–,292,292,–,–,–,15.4,15.9,7.94,24.4,23.8,–,–,–,42.2,46.0,28.6,–,–,–,–,–,6.01,–,–,49.6,–,–,3100,8420,7340,340,102,1100,700,61.7,–,–,–,4040,17300,–,60000,107,–,–,1390,4150,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,75.7,820,2500,2790
W,W840X193,W840X193,193,24700,841,841,–,–,–,292,292,–,–,–,14.7,14.3,7.94,21.7,22.2,–,–,–,39.6,44.5,28.6,–,–,–,–,–,6.73,–,–,51.7,–,–,2790,7650,6650,335,90.7,975,621,60.7,–,–,–,3070,15200,–,59800,94.9,–,–,1230,3770,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,74.7,818,2500,2790
W,W840X176,W840X176,176,22400,836,835,–,–,–,292,292,–,–,–,14.0,14.3,7.94,18.8,19.0,–,–,–,36.6,41.3,28.6,–,–,–,–,–,7.76,–,–,54.5,–,–,2460,6800,5880,330,77.8,841,534,58.9,–,–,–,2210,13000,–,59700,82.0,–,–,1070,3360,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,73.4,818,2480,2770
W,W760X582,W760X582,582,74200,843,845,–,–,–,396,397,–,–,–,34.5,34.9,17.5,62.0,61.9,–,–,–,82.0,85.7,38.1,–,–,–,–,–,3.19,–,–,19.7,–,–,8620,23800,20500,340,645,5080,3240,93.2,–,–,–,72000,98300,–,77400,475,–,–,4380,11800,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,111,782,2770,3180
W,W760X531,W760X531,531,67700,833,832,–,–,–,394,394,–,–,–,31.5,31.8,15.9,56.9,57.2,–,–,–,77.0,79.4,36.5,–,–,–,–,–,3.45,–,–,21.6,–,–,7780,21600,18700,338,579,4570,2930,92.5,–,–,–,55800,87000,–,76100,429,–,–,4000,10700,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,109,777,2740,3150
W,W760X484,W760X484,484,61900,823,822,–,–,–,391,391,–,–,–,29.0,28.6,14.3,52.1,52.4,–,–,–,72.1,74.6,34.9,–,–,–,–,–,3.75,–,–,23.4,–,–,6990,19500,17000,335,516,4130,2650,91.4,–,–,–,42900,77100,–,75500,384,–,–,3640,9720,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108,772,2740,3120
W,W760X434,W760X434,434,55500,813,813,–,–,–,389,387,–,–,–,25.9,25.4,12.7,47.0,47.6,–,–,–,67.1,69.9,33.3,–,–,–,–,–,4.12,–,–,26.2,–,–,6200,17400,15200,335,458,3650,2360,90.9,–,–,–,31300,67100,–,74200,340,–,–,3260,8670,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107,767,2720,3100
W,W760X389,W760X389,389,49700,803,803,–,–,–,386,384,–,–,–,23.6,23.8,12.7,41.9,41.3,–,–,–,62.0,65.1,33.3,–,–,–,–,–,4.59,–,–,28.7,–,–,5450,15500,13600,333,399,3210,2080,89.7,–,–,–,22500,57700,–,73500,297,–,–,2880,7690,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,106,762,2690,3070
W,W760X350,W760X350,350,44700,795,794,–,–,–,384,381,–,–,–,21.1,20.6,11.1,38.1,38.1,–,–,–,58.2,60.3,31.8,–,–,–,–,–,5.02,–,–,32.2,–,–,4870,13900,12300,330,356,2870,1870,89.2,–,–,–,16800,51000,–,72300,265,–,–,2610,6900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105,757,2670,3050
W,W760X314,W760X314,314,40200,785,787,–,–,–,384,384,–,–,–,19.7,19.0,9.52,33.5,33.3,–,–,–,53.3,57.2,30.2,–,–,–,–,–,5.74,–,–,34.5,–,–,4290,12300,10900,328,315,2540,1640,88.6,–,–,–,11800,44600,–,72300,231,–,–,2290,6100,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,104,752,2640,3020
