Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB
L,L203X203X15.9,L203X203X15.9,48.7,6250,203,–,–,–,–,–,–,–,203,–,–,–,–,–,–,15.9,–,–,31.8,31.8,–,56.1,56.1,–,15.4,15.4,–,12.8,–,–,–,–,24.8,305,169,63.0,24.8,305,169,63.0,10.1,40.1,127,541,1.65,–,–,–,–,–,–,–,112,0.630,1.00,1.00,39.5,138,0.00,138,69.8,79.5,69.8,287,–,287,144,127,144,–,–,–,–
L,L203X203X14.3,L203X203X14.3,44.0,5660,203,–,–,–,–,–,–,–,203,–,–,–,–,–,–,14.3,–,–,30.2,30.2,–,55.6,55.6,–,13.9,13.9,–,14.2,–,–,–,–,22.6,275,153,63.2,22.6,275,153,63.2,9.12,40.1,116,400,1.22,–,–,–,–,–,–,–,113,0.630,1.00,0.960,36.0,139,0.00,139,70.1,78.7,70.1,259,–,259,130,116,130,–,–,–,–
L,L203X203X12.7,L203X203X12.7,39.3,5060,203,–,–,–,–,–,–,–,203,–,–,–,–,–,–,12.7,–,–,28.7,28.6,–,55.1,55.1,–,12.4,12.4,–,16.0,–,–,–,–,20.3,247,137,63.2,20.3,247,137,63.2,8.24,40.4,106,284,0.867,–,–,–,–,–,–,–,113,0.630,1.00,0.910,32.4,139,0.00,139,70.1,78.0,70.1,233,–,233,117,106,117,–,–,–,–
L,L203X152X25.4,L203X152X25.4,65.5,8450,152,–,–,–,–,–,–,–,203,–,–,–,–,–,–,25.4,–,–,38.1,38.1,–,41.9,67.3,–,20.8,36.8,–,8.00,–,–,–,–,33.7,447,247,63.2,16.1,265,146,43.7,8.87,32.5,125,1810,4.38,–,–,–,–,–,–,–,98.6,–,0.542,1.00,41.0,101,39.1,133,71.1,68.8,39.1,406,1050,306,125,129,226,–,–,–,–
L,L203X152X22.2,L203X152X22.2,57.9,7420,152,–,–,–,–,–,–,–,203,–,–,–,–,–,–,22.2,–,–,35.1,34.9,–,40.6,66.0,–,18.3,36.3,–,9.14,–,–,–,–,30.1,398,220,63.5,14.5,236,130,44.2,7.87,32.5,110,1230,3.03,–,–,–,–,–,–,–,99.6,–,0.546,1.00,36.8,102,38.4,135,71.6,67.3,39.9,362,957,274,110,117,197,–,–,–,–
L,L203X152X19,L203X152X19,50.1,6450,152,–,–,–,–,–,–,–,203,–,–,–,–,–,–,19.1,–,–,31.8,31.8,–,39.6,64.8,–,15.8,34.0,–,10.7,–,–,–,–,26.4,346,192,64.0,12.8,205,113,44.5,6.91,32.8,95.4,791,1.95,–,–,–,–,–,–,–,100,–,0.550,1.00,32.4,103,37.6,136,72.1,66.0,40.4,315,860,239,95.7,105,170,–,–,–,–
L,L203X152X15.9,L203X152X15.9,42.2,5430,152,–,–,–,–,–,–,–,203,–,–,–,–,–,–,15.9,–,–,28.7,28.6,–,38.4,63.5,–,13.4,32.3,–,12.8,–,–,–,–,22.6,293,162,64.5,11.0,172,96.4,45.0,5.87,32.8,80.5,466,1.16,–,–,–,–,–,–,–,101,–,0.554,1.00,27.7,104,36.8,137,72.9,64.3,41.1,267,749,202,80.6,91.3,143,–,–,–,–
L,L203X152X14.3,L203X152X14.3,38.1,4910,152,–,–,–,–,–,–,–,203,–,–,–,–,–,–,14.3,–,–,26.9,27.0,–,37.8,63.0,–,12.1,31.5,–,14.2,–,–,–,–,20.6,265,147,64.8,10.0,156,87.5,45.2,5.33,33.0,72.9,343,0.859,–,–,–,–,–,–,–,101,–,0.556,0.960,25.3,104,36.6,137,72.9,63.8,41.1,243,688,184,72.9,83.7,129,–,–,–,–
L,L203X152X12.7,L203X152X12.7,34.1,4390,152,–,–,–,–,–,–,–,203,–,–,–,–,–,–,12.7,–,–,25.4,25.4,–,37.1,62.5,–,10.8,30.5,–,16.0,–,–,–,–,18.5,239,131,64.8,9.03,140,78.5,45.5,4.79,33.0,65.2,243,0.612,–,–,–,–,–,–,–,102,–,0.557,0.910,22.7,105,36.6,138,73.4,62.7,41.7,216,621,166,65.2,76.2,115,–,–,–,–
L,L203X152X11.1,L203X152X11.1,29.9,3860,152,–,–,–,–,–,–,–,203,–,–,–,–,–,–,11.1,–,–,23.8,23.8,–,36.6,61.7,–,9.50,29.2,–,18.3,–,–,–,–,16.4,211,116,65.0,8.03,123,69.3,45.7,4.25,33.3,57.5,165,0.416,–,–,–,–,–,–,–,102,–,0.559,0.850,20.1,106,36.1,139,73.7,62.0,41.9,190,559,145,57.7,68.5,101,–,–,–,–
L,L203X102X25.4,L203X102X25.4,55.4,7160,102,–,–,–,–,–,–,–,203,–,–,–,–,–,–,25.4,–,–,38.1,38.1,–,26.4,77.0,–,17.6,62.2,–,8.00,–,–,–,–,29.0,398,229,63.8,4.83,127,64.6,26.2,3.26,21.4,57.0,1530,3.46,–,–,–,–,–,–,–,95.3,–,0.247,1.00,30.6,80.5,68.3,126,57.7,44.2,16.9,380,447,243,56.5,73.9,192,–,–,–,–
L,L203X102X22.2,L203X102X22.2,49.3,6320,102,–,–,–,–,–,–,–,203,–,–,–,–,–,–,22.2,–,–,35.1,34.9,–,25.3,75.9,–,15.5,61.2,–,9.14,–,–,–,–,26.1,356,205,64.3,4.37,111,57.5,26.4,2.90,21.5,50.1,1040,2.39,–,–,–,–,–,–,–,96.0,–,0.252,1.00,27.5,81.5,67.6,127,58.2,43.2,17.3,338,408,216,50.0,67.4,167,–,–,–,–
L,L203X102X19,L203X102X19,42.5,5480,102,–,–,–,–,–,–,–,203,–,–,–,–,–,–,19.1,–,–,31.8,31.8,–,24.1,74.7,–,13.5,59.4,–,10.7,–,–,–,–,22.9,310,179,64.8,3.90,95.4,50.3,26.7,2.56,21.6,43.4,670,1.54,–,–,–,–,–,–,–,96.5,–,0.257,1.00,24.2,82.3,66.3,128,58.9,41.9,17.9,293,365,188,43.4,61.0,143,–,–,–,–
L,L203X102X15.9,L203X102X15.9,36.0,4620,102,–,–,–,–,–,–,–,203,–,–,–,–,–,–,15.9,–,–,28.7,28.6,–,22.9,73.4,–,11.4,57.7,–,12.8,–,–,–,–,19.6,264,151,65.0,3.38,79.6,42.9,26.9,2.18,21.7,36.7,398,0.918,–,–,–,–,–,–,–,97.3,–,0.262,1.00,20.8,83.3,65.3,129,59.4,40.9,18.4,249,318,161,36.7,53.6,119,–,–,–,–
